***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
************************************************************************************************************
*NORTHING       EASTING              GIRTH
*************************************FIELD BOOK NO 800-8 ***************************************************
42834.011       14290.519            g=1.8
42833.540       14306.886      
42845.063       14269.943            g=2.8
42803.099       14361.268            g=1.5
42842.754       14319.803            g=4.5
42836.127       14332.549            g=2.0
42832.411       14338.858            g=1.9
42825.794       14354.218            g=2.2
42815.634       14366.102            g=2.9
42766.776       14436.529            g=3.3
42713.396       14494.503            g=5.6
42768.141       14409.909            g=2.2
42741.231       14437.187            g=1.6
42739.521       14446.125            g=1.7
42717.351       14468.267            g=5.8
42685.303       14496.011            g=2.6
42662.660       14522.160            g=2.4
42654.327       14530.563            g=3.0
42643.556       14535.016            g=2.9
42628.480       14576.806            g=1.7
42617.886       14585.126            g=2.9
42678.041       14527.987            g=1.2
42649.138       14510.756            g=1.4
42691.654       14516.274            g=3.0
42692.903       14524.345            g=2.2
42701.021       14514.733            g=1.7
*************************************FIELD  BOOK NO 800-9 ******************************************************
42605.279       14596.145            g=3.5
42614.625       14596.746            g=2.6
42610.785       14606.289            g=2.2
42581.705       14616.509            g=1.6
42588.457       14623.880            g=1.4
42546.198       14660.526            g=2.4
42502.866       14684.586            g=2.4
42471.094       14715.865            g=1.8
42462.649       14720.715            g=2.6
42454.168       14734.612            g=1.7
42500.150       14664.880            g=1.9
42547.930       14624.991            g=4.5
42595.148       14583.858            g=2.5
42478.487       14677.400            g=2.2
42424.886       14361.272            g=2.5
42387.798       14812.273            g=2.1
42379.297       14827.429            g=1.9
42363.341       14857.680            g=3.3
42330.665       14900.758            g=1.9
42336.536       14885.397            g=4.0
42348.994       14854.876            g=1.9
42354.829       14841.491            g=2.3
42324.228       14957.796            g=3.1
42338.908       14955.750            g=2.5
42313.963       14988.962            g=1.9
42305.127       15018.547            g=2.8
42296.322       14999.431            g=2.8
42283.388       14993.146            g=3.9
42302.913       14981.248            g=2.1
42308.462       14965.880            g=2.2
42313.939       14949.196            g=3.5
42324.294       14917.075            g=1.6
42296.835       15036.287            g=4.1
42290.159       15056.695            g=3.6
42279.297       15101.405            g=3.3
42291.191       15109.827            g=1.6
42275.688       15116.627            g=3.7
42268.429       15146.125            g=3.4
42265.092       15162.322            g=3.0
42258.412       15190.489            g=2.4
42251.640       15220.280            g=2.6
42236.349       15230.331            g=8.4
42239.470       15209.993            g=3.2
42222.570       15195.607      
42243.130       15195.128            g=1.4
42253.503       15150.097            g=3.2
42251.653       15120.006            g=2.2
42258.812       15092.382            g=2.6
42250.227       15070.838            
42261.245       15044.163            g=2.8
42272.122       15072.326            g=2.8
42281.496       15042.549            g=2.6
*************************************FIELD BOOK NO 800-10 ***********************************************
42241.005       15265.649            g=2.5
42230.977       15309.134            g=3.2
42216.932       15368.762            g=2.3
42213.341       15383.076            g=3.3
42209.870       15398.416            g=2.3
42218.662       15299.620            g=4.2
42211.912       15329.035            g=3.1
42208.193       15343.262            g=2.5
42204.952       15358.610            g=3.2
42200.884       15373.159            g=3.3
42190.072       15420.989            g=3.7
42195.496       15458.056            g=4.3
42191.367       15472.616            g=3.2
42186.481       15487.074            g=3.3
42181.494       15501.720            g=3.4
42166.075       15530.556            g=3.8
42157.094       15547.550            g=3.0
42149.165       15560.172            g=5.2
42140.076       15572.977            g=3.6
42181.395       15453.245            g=2.5
42177.549       15469.414            g=3.2
42154.335       15524.930            g=4.3
42138.317       15548.431            g=3.2
42121.322       15574.722            g=2.7
42120.974       15595.146      
42113.654       15568.116            g=2.0
42099.407       15598.226            g=2.6
42080.381       15604.135      
42085.083       15599.492      
42120.315       15596.433            g=5.2
42111.091       15606.334            g=4.8
42089.341       15626.795            g=3.2
42064.299       15649.455            g=3.2
42042.053       15669.885            g=4.2
42026.953       15682.709            g=2.7
42007.284       15702.775            g=8.7
42066.503       15627.627            g=5.7
42049.459       15644.546            g=4.8
42015.283       15674.819            g=3.2
42026.996       15664.149            g=4.2
*************************************FIELD BOOK NO 800-11 **********************************************
41981.537       15705.591            g=4.0
41970.522       15715.271            g=3.0
