***********************************************************************************************************************
*First Data line should contain the following...
*Blk X Scale <> Blk Y Scale  <> Text Rotation  <> Text Size 
***********************************************************************************************************************
*1					1            45               2.5
***********************************************************************************************************************
*Field data starts here
***********************************************************************************************************************
*NORTHING       EASTING         R.L.            GIRTH
************************************************FIELD BOOK NO 800-8 ***************************************************
42834.011       14290.519       412.923         g=1.8
42833.540       14306.886       415.279
42845.063       14269.943       414.253         g=2.8
42803.099       14361.268       415.455         g=1.5
42842.754       14319.803       415.276         g=4.5
42836.127       14332.549       415.337         g=2.0
42832.411       14338.858       415.451         g=1.9
42825.794       14354.218       415.030         g=2.2
42815.634       14366.102       415.729         g=2.9
42766.776       14436.529       416.717         g=3.3
42713.396       14494.503       417.574         g=5.6
42768.141       14409.909       416.240         g=2.2
42741.231       14437.187       416.010         g=1.6
42739.521       14446.125       416.953         g=1.7
42717.351       14468.267       417.215         g=5.8
42685.303       14496.011       416.961         g=2.6
42662.660       14522.160       417.510         g=2.4
42654.327       14530.563       417.576         g=3.0
42643.556       14535.016       416.963         g=2.9
42628.480       14576.806       417.739         g=1.7
42617.886       14585.126       417.195         g=2.9
42678.041       14527.987       417.964         g=1.2
42649.138       14510.756       416.988         g=1.4
42691.654       14516.274       417.718         g=3.0
42692.903       14524.345       417.765         g=2.2
42701.021       14514.733       417.309         g=1.7
************************************************FIELD  BOOK NO 800-9 ******************************************************
42605.279       14596.145       417.315         g=3.5
42614.625       14596.746       416.538         g=2.6
42610.785       14606.289       416.429         g=2.2
42581.705       14616.509       416.841         g=1.6
42588.457       14623.880       416.027         g=1.4
42546.198       14660.526       413.500         g=2.4
42502.866       14684.586       414.114         g=2.4
42471.094       14715.865       412.392         g=1.8
42462.649       14720.715       413.020         g=2.6
42454.168       14734.612       411.173         g=1.7
42500.150       14664.880       414.113         g=1.9
42547.930       14624.991       416.141         g=4.5
42595.148       14583.858       417.289         g=2.5
42478.487       14677.400       412.164         g=2.2
42424.886       14361.272       413.127         g=2.5
42387.798       14812.273       415.598         g=2.1
42379.297       14827.429       415.790         g=1.9
42363.341       14857.680       416.868         g=3.3
42330.665       14900.758       418.254         g=1.9
42336.536       14885.397       417.747         g=4.0
42348.994       14854.876       417.121         g=1.9
42354.829       14841.491       416.855         g=2.3
42324.228       14957.796       419.462         g=3.1
42338.908       14955.750       417.665         g=2.5
42313.963       14988.962       419.977         g=1.9
42305.127       15018.547       420.388         g=2.8
42296.322       14999.431       420.388         g=2.8
42283.388       14993.146       419.549         g=3.9
42302.913       14981.248       420.078         g=2.1
42308.462       14965.880       419.705         g=2.2
42313.939       14949.196       419.306         g=3.5
42324.294       14917.075       418.650         g=1.6
42296.835       15036.287       420.841         g=4.1
42290.159       15056.695       421.101         g=3.6
42279.297       15101.405       421.649         g=3.3
42291.191       15109.827       420.434         g=1.6
42275.688       15116.627       421.832         g=3.7
42268.429       15146.125       422.281         g=3.4
42265.092       15162.322       422.523         g=3.0
42258.412       15190.489       422.996         g=2.4
42251.640       15220.280       423.258         g=2.6
42236.349       15230.331       423.723         g=8.4
42239.470       15209.993       423.065         g=3.2
42222.570       15195.607       422.624
42243.130       15195.128       423.087         g=1.4
42253.503       15150.097       422.807         g=3.2
42251.653       15120.006       421.556         g=2.2
42258.812       15092.382       421.427         g=2.6
42250.227       15070.838       420.835         
42261.245       15044.163       420.372         g=2.8
42272.122       15072.326       421.525         g=2.8
42281.496       15042.549       421.142         g=2.6
************************************************FIELD BOOK NO 800-10 ***********************************************
42241.005       15265.649       423.802         g=2.5
42230.977       15309.134       424.305         g=3.2
42216.932       15368.762       425.324         g=2.3
42213.341       15383.076       425.288         g=3.3
42209.870       15398.416       425.486         g=2.3
42218.662       15299.620       424.268         g=4.2
42211.912       15329.035       424.705         g=3.1
42208.193       15343.262       424.841         g=2.5
42204.952       15358.610       425.121         g=3.2
42200.884       15373.159       425.024         g=3.3
42190.072       15420.989       425.840         g=3.7
42195.496       15458.056       426.374         g=4.3
42191.367       15472.616       426.089         g=3.2
42186.481       15487.074       426.511         g=3.3
42181.494       15501.720       426.210         g=3.4
42166.075       15530.556       426.690         g=3.8
42157.094       15547.550       420.524         g=3.0
42149.165       15560.172       426.628         g=5.2
42140.076       15572.977       426.648         g=3.6
42181.395       15453.245       425.933         g=2.5
42177.549       15469.414       425.773         g=3.2
42154.335       15524.930       426.388         g=4.3
42138.317       15548.431       426.594         g=3.2
42121.322       15574.722       426.630         g=2.7
42120.974       15595.146       427.119
42113.654       15568.116       424.862         g=2.0
42099.407       15598.226       426.352         g=2.6
42080.381       15604.135       426.905
42085.083       15599.492       425.354
42120.315       15596.433       427.088         g=5.2
42111.091       15606.334       427.295         g=4.8
42089.341       15626.795       427.200         g=3.2
42064.299       15649.455       427.349         g=3.2
42042.053       15669.885       427.298         g=4.2
42026.953       15682.709       427.214         g=2.7
42007.284       15702.775       427.038         g=8.7
42066.503       15627.627       427.428         g=5.7
42049.459       15644.546       427.485         g=4.8
42015.283       15674.819       427.285         g=3.2
42026.996       15664.149       427.194         g=4.2
************************************************FIELD BOOK NO 800-11 **********************************************
41981.537       15705.591       427.230         g=4.0
41970.522       15715.271       429.152         g=3.0
41936.731       15745.691       426.821         g=3.2
41924.817       15755.609       426.651         g=4.8
41890.904       15785.412       426.426         g=2.5
41835.517       15835.000       425.684         g=2.2
