Input for MX Roads
Generated on 06-Nov-06 11:27:28 PM

Northing          	Easting           	Elevation         	Layer             	Sequence ID       
       5.316	       4.405	       3.390	3	1
       5.728	       7.402	       4.670	3	2
       5.728	       7.402	       4.670	3	4
       7.951	       6.936	       3.390	3	5
       7.951	       6.936	       3.390	3	7
       7.288	       3.939	       2.300	3	8
       7.288	       3.939	       2.300	3	10
       5.316	       4.405	       3.390	3	11
       8.417	       8.066	       3.390	3	13
       7.754	       5.069	       2.300	3	14
       5.782	       5.536	       3.390	3	16
       6.194	       8.533	       4.670	3	17
       7.754	       5.069	       2.300	3	19
       5.782	       5.536	       3.390	3	20
       6.194	       8.533	       4.670	3	22
       8.417	       8.066	       3.390	3	23
       8.615	       8.012	       3.390	3	25
       7.951	       5.016	       2.300	3	26
       5.979	       5.482	       3.390	3	28
       6.391	       8.479	       4.670	3	29
       7.951	       5.016	       2.300	3	31
       5.979	       5.482	       3.390	3	32
       6.391	       8.479	       4.670	3	34
       8.615	       8.012	       3.390	3	35
       8.758	       7.779	       3.390	3	37
       8.095	       4.782	       2.300	3	38
       6.123	       5.249	       3.390	3	40
       6.535	       8.246	       4.670	3	41
       8.095	       4.782	       2.300	3	43
       6.123	       5.249	       3.390	3	44
       6.535	       8.246	       4.670	3	46
       8.758	       7.779	       3.390	3	47
       8.866	       6.092	       3.390	3	49
       8.202	       3.095	       2.300	3	50
       6.230	       3.562	       3.390	3	52
       6.642	       6.559	       4.670	3	53
       8.202	       3.095	       2.300	3	55
       6.230	       3.562	       3.390	3	56
       6.642	       6.559	       4.670	3	58
       8.866	       6.092	       3.390	3	59
       9.332	       7.223	       3.390	3	61
       8.668	       4.226	       2.300	3	62
       6.696	       4.693	       3.390	3	64
       7.109	       7.689	       4.670	3	65
       8.668	       4.226	       2.300	3	67
       6.696	       4.693	       3.390	3	68
       7.109	       7.689	       4.670	3	70
       9.332	       7.223	       3.390	3	71
       8.202	       3.095	       2.300	3	73
       6.230	       3.562	       3.390	3	74
       6.642	       6.559	       4.670	3	76
       8.866	       6.092	       3.390	3	77
       8.202	       3.095	       2.300	3	79
       6.230	       3.562	       3.390	3	80
       6.642	       6.559	       4.670	3	82
       8.866	       6.092	       3.390	3	83
       9.152	       5.339	       3.390	3	85
       8.489	       2.342	       2.300	3	86
       6.517	       2.808	       3.390	3	88
       6.929	       5.805	       4.670	3	89
       8.489	       2.342	       2.300	3	91
       6.517	       2.808	       3.390	3	92
       6.929	       5.805	       4.670	3	94
       9.152	       5.339	       3.390	3	95
       9.099	       5.069	       3.390	3	97
       8.435	       2.073	       2.300	3	98
       6.463	       2.539	       3.390	3	100
       6.875	       5.536	       4.670	3	101
       8.435	       2.073	       2.300	3	103
       6.463	       2.539	       3.390	3	104
       6.875	       5.536	       4.670	3	106
       9.099	       5.069	       3.390	3	107
       8.776	       4.764	       3.390	3	109
       8.113	       1.768	       2.300	3	110
       6.140	       2.234	       3.390	3	112
       6.553	       5.231	       4.670	3	113
       8.113	       1.768	       2.300	3	115
       6.140	       2.234	       3.390	3	116
       6.553	       5.231	       4.670	3	118
       8.776	       4.764	       3.390	3	119
       8.543	       4.657	       3.390	3	121
       7.879	       1.660	       2.300	3	122
       5.907	       2.126	       3.390	3	124
       6.320	       5.123	       4.670	3	125
       7.879	       1.660	       2.300	3	127
       5.907	       2.126	       3.390	3	128
       6.320	       5.123	       4.670	3	130
       8.543	       4.657	       3.390	3	131
       8.238	       4.639	       3.390	3	133
       7.575	       1.642	       2.300	3	134
       5.603	       2.108	       3.390	3	136
       6.015	       5.105	       4.670	3	137
       7.575	       1.642	       2.300	3	139
       5.603	       2.108	       3.390	3	140
       6.015	       5.105	       4.670	3	142
       8.238	       4.639	       3.390	3	143
       8.059	       4.639	       3.390	3	145
       7.395	       1.642	       2.300	3	146
       5.423	       2.108	       3.390	3	148
       5.836	       5.105	       4.670	3	149
       7.395	       1.642	       2.300	3	151
       5.423	       2.108	       3.390	3	152
       5.836	       5.105	       4.670	3	154
       8.059	       4.639	       3.390	3	155
       7.826	       4.639	       3.390	3	157
       7.162	       1.642	       2.300	3	158
       5.190	       2.108	       3.390	3	160
       5.603	       5.105	       4.670	3	161
       7.162	       1.642	       2.300	3	163
       5.190	       2.108	       3.390	3	164
       5.603	       5.105	       4.670	3	166
       7.826	       4.639	       3.390	3	167
       7.593	       4.675	       3.390	3	169
       6.929	       1.678	       2.300	3	170
       4.957	       2.144	       3.390	3	172
       5.370	       5.141	       4.670	3	173
       6.929	       1.678	       2.300	3	175
       4.957	       2.144	       3.390	3	176
       5.370	       5.141	       4.670	3	178
       7.593	       4.675	       3.390	3	179
       7.593	       5.016	       3.390	3	181
       6.929	       2.019	       2.300	3	182
       4.957	       2.485	       3.390	3	184
       5.370	       5.482	       4.670	3	185
       6.929	       2.019	       2.300	3	187
       4.957	       2.485	       3.390	3	188
       5.370	       5.482	       4.670	3	190
       7.593	       5.016	       3.390	3	191
       7.521	       5.069	       3.390	3	193
       6.858	       2.073	       2.300	3	194
       4.885	       2.539	       3.390	3	196
       5.298	       5.536	       4.670	3	197
       6.858	       2.073	       2.300	3	199
       4.885	       2.539	       3.390	3	200
       5.298	       5.536	       4.670	3	202
       7.521	       5.069	       3.390	3	203
       7.216	       5.069	       3.390	3	205
